Trajectory ID,Vehicle ID,Time Stamp,Latitude,Longitude
1,BXUQ59,29.0,44.241577045517325,-76.51702460328848
,,29.2,44.2415769215868,-76.51703214556183
,,29.4,44.2415760914086,-76.51703218225374
,,29.6,44.24157472681615,-76.51703224256552
,,29.8,44.241572829157185,-76.51703232643757
,,30.0,44.24157040011611,-76.51703243379546
,,30.2,44.24156744181664,-76.51703256454533
,,30.4,44.24156395694764,-76.51703271856832
,,30.6,44.241560085951065,-76.51703288965724
,,30.8,44.24155582842644,-76.5170330778298
,,31.0,44.24155118603286,-76.51703328301265
,,31.2,44.24154616221808,-76.51703350505342
,,31.4,44.24154076204346,-76.5170337437284
,,31.6,44.241534992068416,-76.5170339987477
,,31.8,44.24152886027095,-76.5170342697587
,,32.0,44.24152237598869,-76.51703455634869
,,32.2,44.24151554986949,-76.51703485804707
,,32.4,44.24150839382458,-76.51703517432739
,,32.6,44.24150092097947,-76.51703550460952
,,32.8,44.24149314562032,-76.51703584826207
,,33.0,44.24148508313511,-76.5170362046049
,,33.2,44.24147674995078,-76.51703657291202
,,33.4,44.241468163468554,-76.51703695241429
,,33.6,44.241459342001164,-76.51703734230236
,,33.8,44.24145030471575,-76.51703774172907
,,34.0,44.24144107158667,-76.51703814981161
,,34.2,44.24143166336176,-76.51703856563297
,,34.4,44.24142210154395,-76.51703898824277
,,34.6,44.24141239195223,-76.51703941738384
,,34.8,44.241402540960685,-76.51703985277445
,,35.0,44.24139255557777,-76.51704029410483
,,35.2,44.24138244348411,-76.51704074103554
,,35.4,44.241372213039284,-76.51704119319709
,,35.6,44.241361873268644,-76.51704165019058
,,35.8,44.24135143384167,-76.51704211158864
,,36.0,44.24134090505149,-76.51704257693635
,,36.2,44.24133029780359,-76.5170430457517
,,36.4,44.24131962361968,-76.51704351752547
,,36.6,44.24130889465974,-76.5170439917202
,,36.8,44.24129812376352,-76.51704446776843
,,37.0,44.241287337080024,-76.51704494451441
,,37.2,44.24127656621713,-76.51704542056116
,,37.4,44.24126584180898,-76.51704589455473
,,37.6,44.24125502272404,-76.51703883593684
,,37.8,44.241244479022384,-76.51703930194361
,,38.0,44.241234067493664,-76.51703976210864
,,38.2,44.24122381463811,-76.51704021526068
,,38.4,44.24121374592276,-76.51704066027416
,,38.6,44.241203885764804,-76.5170410960699
,,38.8,44.241194257490356,-76.51704152161695
,,39.0,44.24118488326237,-76.51704193593572
,,39.2,44.241175783975024,-76.51704233810277
,,39.4,44.241166979114595,-76.51704272725685
,,39.6,44.2411584865903,-76.51704310260641
,,39.8,44.241150322541955,-76.5170434634381
,,40.0,44.24114250113446,-76.51704380912587
,,40.2,44.24113540814636,-76.5170564708077
,,40.4,44.241127936037806,-76.51705949599614
,,40.6,44.24112019992088,-76.5170626280721
,,40.8,44.241112235496836,-76.5170658525814
,,41.0,44.24110408053821,-76.51706915423131
,,41.2,44.24109577446742,-76.51707251706112
,,41.4,44.241087357877845,-76.517075924636
,,41.6,44.24107887201931,-76.51707936025542
,,41.8,44.24107035827039,-76.51708280716664
,,42.0,44.24106185761823,-76.51708624877546
,,42.2,44.24105341016223,-76.51708966884705
,,42.4,44.241045054653355,-76.51709305169257
,,42.6,44.241036828075046,-76.51709638233872
,,42.8,44.24102876526781,-76.51709964667985
,,43.0,44.241020898596496,-76.51710283161258
,,43.2,44.24101325765847,-76.51710592515401
,,43.4,44.24100586903123,-76.51710891654388
,,43.6,44.24099875605998,-76.51711179633051
,,43.8,44.240991668871274,-76.51711177289849
,,44.0,44.24098424203853,-76.51711163471317
,,44.2,44.2409765170138,-76.51711149097963
,,44.4,44.24096852677648,-76.51711134231148
,,44.6,44.240960305971306,-76.51711118935333
,,44.8,44.240951890450575,-76.51711103277226
,,45.0,44.24094331677444,-76.51711087324851
,,45.2,44.24093462169648,-76.51711071146593
,,45.4,44.24092584166118,-76.51711054810264
,,45.6,44.24091701233703,-76.51711038382224
,,45.8,44.240908168203646,-76.51711021926631
,,46.0,44.24089934220448,-76.51711005504778
,,46.2,44.240890565470174,-76.51710989174589
,,46.4,44.2408818671115,-76.51710972990229
,,46.6,44.24087327407619,-76.51710957001833
