Trajectory ID,Vehicle ID,Time Stamp,Latitude,Longitude
1,BXUQ193,0.2,44.24056987096211,-76.51751417257933
,,0.4,44.24056975179624,-76.51751566873246
,,0.6,44.24056951350388,-76.51751866054425
,,0.8,44.240569156164135,-76.51752314702142
,,1.0,44.24056867992968,-76.51752912624725
,,1.2,44.24056808507868,-76.51753659472935
,,1.4,44.24056737208658,-76.51754554649823
,,1.6,44.24056654171982,-76.51755597193119
,,1.8,44.24056559515349,-76.51756785627475
,,2.0,44.24056453411496,-76.51758117784132
,,2.2,44.24056336105469,-76.5175959058649
,,2.4,44.240562079344215,-76.51761199801507
,,2.6,44.24056069349941,-76.51762939759415
,,2.8,44.24055920942443,-76.51764803047419
,,3.0,44.24055763466842,-76.51766780187411
,,3.2,44.24055597868317,-76.51768859312445
,,3.4,44.24055425306578,-76.51771025862132
,,3.6,44.24055247176549,-76.51773262322892
,,3.8,44.24055065122867,-76.5177554804596
,,4.0,44.24055417248855,-76.51777942421954
,,4.2,44.240552332910006,-76.51780252052316
,,4.4,44.240550391678745,-76.5178253379356
,,4.6,44.24054824147661,-76.51784925863208
,,4.8,44.2405459922477,-76.51787428098746
,,5.0,44.24054365107637,-76.51790032618923
,,5.2,44.24054122551427,-76.51792731022658
,,5.4,44.24053872342654,-76.51795514560074
,,5.6,44.24053615282436,-76.51798374318858
,,5.8,44.240533521697174,-76.51801301410855
,,6.0,44.240530837857854,-76.51804287144363
,,6.2,44.24052810881145,-76.51807323170114
,,6.4,44.24052534165486,-76.5181040159291
,,6.6,44.240522543010556,-76.51813515045346
,,6.8,44.24051971899398,-76.51816656724081
,,7.0,44.24051687521134,-76.51819820392285
,,7.2,44.24051401678296,-76.51823000353667
,,7.4,44.240511148386666,-76.51826191404213
,,7.6,44.240508274315964,-76.51829388767457
,,7.8,44.24050539854859,-76.51832588018223
,,8.0,44.240497171724144,-76.51835691217167
,,8.2,44.24049430361621,-76.51838881946918
,,8.4,44.24049145407835,-76.51842052017722
,,8.6,44.24048862457535,-76.51845199800024
,,8.8,44.24048581682206,-76.5184832338608
,,9.0,44.24048303280291,-76.51851420568232
,,9.2,44.24048027479607,-76.51854488812067
,,9.4,44.240477545401916,-76.51857525224683
,,9.6,44.2404748475756,-76.51860526518531
,,9.8,44.240472184662806,-76.51863488971574
,,10.0,44.24046956169269,-76.51866406988944
,,10.2,44.24046698727333,-76.51869270994284
,,10.4,44.24046447097627,-76.51872070339381
