Connections ID, Vehicle ID, Time Stamp, Current Open Connections
63,63,0,
,,1,
14,14,0,
,,70,63
,,115,
27,27,0,
,,1,
19,19,0,
,,1,
31,31,0,
,,1,27'19
,,30,19
,,58,
82,82,0,
,,1,
86,86,0,
,,1,
72,72,0,
,,199,82'86
,,240,82
,,260,
